"","EPAPropertyType","Electricity.kBtu.","SteamUse.kBtu.","NaturalGas.kBtu.","TotalGHGEmissions"
"1","Adult Education",1414813,0,1133366.5,67.7
"2","Automobile Dealership",1363494.16666667,0,729315,45.9833333333333
"3","Bank Branch",381107,0,0,2.05
"4","College/University",9119705.78378378,5540029.87179487,3551584.32432432,721.843243243243
"5","Convenience Store without Gas Station",598807,0,0,3.2
"6","Convention Center",30223520,14987953,1251147,1471.3
"7","Courthouse",18949531.5,0,14735805,883.35
"8","Data Center",59052671.5,0,0,314.05
"9","Distribution Center",1539860.77083333,0,475016.270833333,33.4145833333333
"10","Enclosed Mall",9956656,0,219117,64.55
"11","Energy/Power Station",985505,0,0,5.2
"12","Financial Office",1617629,0,1290025,77.1
"13","Fire Station",2870734.33333333,0,1310686.33333333,84.8666666666667
"14","Fitness Center/Health Club/Gym",2518886,739977,1840891,172.58
"15","Food Service",833920,0,0,4.4
"16","Hospital (General Medical & Surgical)",72136088,44137831.8,34505773.8,5879.97
"17","Hotel",4608549.7875,850416.5875,2636098.75,235.10125
"18","K-12 School",1203448.45454545,2494.14482758621,1545637.27272727,88.6979020979021
"19","Laboratory",10036227.6,1826260.13333333,7815428.86666667,620.046666666667
"20","Library",4090907,87643,485657.25,54.85
"21","Lifestyle Center",8954589,0,4539030,288.7
"22","Mailing Center/Post Office",749891,0,847312,49
"23","Manufacturing/Industrial Plant",2582136.23076923,0,667834.384615385,49.1923076923077
"24","Medical Office",8432863.06382979,1334098.29166667,2780079.34042553,305.585106382979
"25","Mixed Use Property",10972056.4126984,96957.7698412698,5063293.53968254,335.300793650794
"26","Movie Theater",1842480,0,0,9.8
"27","Multifamily Housing",3338412.75,0,996829.75,70.675
"28","Multifamily HR (10+)",5776103.10483871,298029.943548387,3364804.24193548,234.160483870968
"29","Multifamily LR (1-4)",989624.375478927,469.685114503817,358534.713601533,24.342816091954
"30","Multifamily MR (5-9)",1946940.77966102,16057.7647887324,967928.333333333,63.0943502824859
"31","Museum",6838139.44444444,1733173.33333333,1858082.22222222,278.9
"32","Non-Refrigerated Warehouse",963233.609589041,0,754522.965753425,45.1938356164384
"33","Office",6291853.39065817,225731.365180467,647369.193205945,86.5768577494692
"34","Other",5260334.26415094,211408.518518519,3211381.37735849,216.409433962264
"35","Other - Education",321559,0,0,1.7
"36","Other - Entertainment/Public Assembly",7137835.33333333,160263.75,2444146,181.953333333333
"37","Other - Lodging/Residential",596868.6,0,943656.2,53.28
"38","Other - Mall",1065516,0,868560.666666667,51.8
"39","Other - Public Services",2393321.66666667,0,1871820.33333333,112.133333333333
"40","Other - Recreation",1506588.56521739,0,2422692.65217391,136.682608695652
"41","Other - Services",769010,0,1435182.33333333,80.3333333333333
"42","Other - Utility",4003255.33333333,0,524937.333333333,49.1666666666667
"43","Other/Specialty Hospital",4287112.66666667,0,2863943.66666667,174.9
"44","Outpatient Rehabilitation/Physical Therapy",2718938,1816867,0,165.3
"45","Parking",6818814.57894737,0,2773156.94736842,183.547368421053
"46","Performing Arts",2186901.6,984742,493792.8,119.6
"47","Personal Services (Health/Beauty, Dry Cleaning, etc)",1314132,0,399207,28.2
"48","Police Station",3575421.33333333,0,1791979,114.166666666667
"49","Pre-school/Daycare",1017416,0,276474.5,20.1
"50","Prison/Incarceration",18382355,0,29624197,1671.1
"51","Refrigerated Warehouse",3185285.58333333,0,202488.416666667,27.6833333333333
"52","Repair Services (Vehicle, Shoe, Locksmith, etc)",873478.363636364,0,1439828.63636364,81.1090909090909
"53","Residence Hall/Dormitory",2169573.8125,345230.5,1399352.25,114.525
"54","Residential Care Facility",952699.666666667,0,1942991.33333333,108.266666666667
"55","Restaurant",2340953.57142857,0,2845832.71428571,163.585714285714
"56","Retail Store",2196130.75362319,0,1025336.44927536,66.1304347826087
"57","Self-Storage Facility",678025.45,0,397363,24.715
"58","Social/Meeting Hall",542173.727272727,411495.454545455,867686.181818182,83.1272727272727
"59","Stadium (Open)",29913014,0,1346590,230.6
"60","Strip Mall",3457056.5,0,1503773.8,98.24
"61","Supermarket/Grocery Store",5909547.55263158,0,3427990.84210526,213.486842105263
"62","Transportation Terminal/Station",12918778.5,0,77938.5,72.825
"63","Urgent Care/Clinic/Other Outpatient",754181,0,1759881,97.5
"64","Wholesale Club/Supercenter",3837732,0,3905764,227.8
"65","Worship Facility",397176.333333333,45147.5820895522,656052.575757576,40.7621212121212
"66",NA,1852548.36842105,152884.736842105,1899557.29473684,123.423157894737
